metric	summary_group	model_key	score_name	score_value	aux_score_name	aux_score_value	direction	source_file
pseudoperplexity	all	glot500_base	weighted_pseudo_perplexity	7.706594	weighted_mean_nll	2.042076	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
pseudoperplexity	v5_target	glot500_base	weighted_pseudo_perplexity	7.706594	weighted_mean_nll	2.042076	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
pseudoperplexity	all	v52_align_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1000/summary.tsv
pseudoperplexity	v5_target	v52_align_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1000/summary.tsv
pseudoperplexity	all	v52_align_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1500/summary.tsv
pseudoperplexity	v5_target	v52_align_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1500/summary.tsv
pseudoperplexity	all	v52_align_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2000/summary.tsv
pseudoperplexity	v5_target	v52_align_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2000/summary.tsv
pseudoperplexity	all	v52_align_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2500/summary.tsv
pseudoperplexity	v5_target	v52_align_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2500/summary.tsv
