run_id	model_key	model_group	seed	direction	src_lang	tgt_lang	split	chrf	bleu	metric_impl	examples	train_bank_examples	top1_similarity_mean	top1_similarity_median	same_item_rate	same_book_rate	distinct_pred_items	mean_script_valid_ratio	prediction_path
retrieval_trainbank_xlmr_base_cop_to_syr	xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	4.094026183681749	0.01593132401890635	sacrebleu	678	5389	0.9841218080844147	0.9841622710227966	0.0	0.0	2	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_xlmr_base_cop_to_syr	xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	3.70073244085079	0.006059170275597918	sacrebleu	1006	5389	0.9839010519488431	0.9841174483299255	0.0	0.0	2	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_xlmr_base_syr_to_cop	xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	18.894735208660038	0.832979832456875	sacrebleu	678	5389	0.9737849460590554	0.9735066592693329	0.0	0.0	18	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_xlmr_base_syr_to_cop	xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	16.670608050793046	0.11543533014586649	sacrebleu	1006	5389	0.9729697845920654	0.9728168547153473	0.0	0.0	16	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_syr_to_cop_final_test_predictions.tsv
retrieval_trainbank_fvt_seed13_cop_to_syr	fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	8.903935133511503	0.03379195720484499	sacrebleu	678	5389	0.9973002417249314	0.9974546432495117	0.0	0.0	4	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_fvt_seed13_cop_to_syr	fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	8.303392113601864	0.03305501841064172	sacrebleu	1006	5389	0.9970257815499429	0.9972752630710602	0.0	0.0	4	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_fvt_seed13_syr_to_cop	fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	11.147456585985527	0.08394581023483108	sacrebleu	678	5389	0.9913775252733259	0.9912767708301544	0.0	0.0	72	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_fvt_seed13_syr_to_cop	fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	12.181276365905257	0.03074753438633826	sacrebleu	1006	5389	0.9907379201937385	0.9905133843421936	0.0	0.0	66	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_syr_to_cop_final_test_predictions.tsv
retrieval_trainbank_fvt_seed17_cop_to_syr	fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	9.074454489751762	0.034543843639553366	sacrebleu	678	5389	0.9975935034343978	0.9977882504463196	0.0	0.0	4	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_fvt_seed17_cop_to_syr	fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	8.430103492076082	0.03469316970037236	sacrebleu	1006	5389	0.997332368705192	0.9975578188896179	0.0	0.0	4	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_fvt_seed17_syr_to_cop	fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	11.6553616190117	0.11105102576909973	sacrebleu	678	5389	0.9915664066783095	0.9915022850036621	0.0	0.0	68	1.0	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_syr_to_cop_dev_predictions.tsv
