run_id	setup	split	source_lang	target_lang	rows	chrf	bleu	retrieval_acc	high_resource_score	required_score	ratio_to_high_resource	status	artifact_path
branch001_procrustes_20260610_231500	baseline_no_mapping	dev	usp	kbh	500	17.170636	1.717720	0.014000	61.959906	49.567925	0.277125	MEASURED	NOT_APPLICABLE
branch001_procrustes_20260610_231500	procrustes_mapping	dev	usp	kbh	500	17.141282	2.033788	0.008000	61.959906	49.567925	0.276651	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/usp_to_kbh_procrustes.pt
branch001_procrustes_20260610_231500	baseline_no_mapping	test	usp	kbh	100	32.297328	13.727548	0.090000	61.959906	49.567925	0.521262	MEASURED	NOT_APPLICABLE
branch001_procrustes_20260610_231500	procrustes_mapping	test	usp	kbh	100	24.799654	7.569468	0.050000	61.959906	49.567925	0.400253	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/usp_to_kbh_procrustes.pt
branch001_byt5_20260610_231854	byt5_small_finetune	dev	usp	kbh	256	0.000000	0.000000	NOT_APPLICABLE	61.959906	49.567925	0.000000	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/dev_predictions.tsv
branch001_byt5_20260610_231854	byt5_small_finetune	test	usp	kbh	100	0.000000	0.000000	NOT_APPLICABLE	61.959906	49.567925	0.000000	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/test_predictions.tsv
branch001_byt5_20260610_232137	byt5_small_finetune	dev	usp	kbh	256	13.871174	0.488652	NOT_APPLICABLE	61.959906	49.567925	0.223873	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/dev_predictions.tsv
branch001_byt5_20260610_232137	byt5_small_finetune	test	usp	kbh	100	14.569178	0.643323	NOT_APPLICABLE	61.959906	49.567925	0.235139	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/test_predictions.tsv
branch001_cross_encoder_20260610_232744	cross_encoder_reranker	dev	usp	kbh	256	23.969623	0.396741	0.000000	61.959906	49.567925	0.386857	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/cross_encoder_usp_kbh/branch001_cross_encoder_20260610_232744/dev_predictions.tsv
branch001_cross_encoder_20260610_232744	cross_encoder_reranker	test	usp	kbh	100	23.094239	4.161889	0.020000	61.959906	49.567925	0.372729	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/cross_encoder_usp_kbh/branch001_cross_encoder_20260610_232744/test_predictions.tsv
branch001_sentence_embedding_20260610_234556	sentence_embedding_sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2_csls	dev	kbh	nhg	256	33.133229	13.596350	0.089844	61.959906	49.567925	0.534753	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/selected_dev_predictions.tsv
branch001_sentence_embedding_20260610_234556	sentence_embedding_sentence-transformers_paraphrase-multilingual-MiniLM-L12-v2_csls	test	kbh	nhg	100	37.518649	18.738332	0.160000	61.959906	49.567925	0.605531	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/selected_test_predictions.tsv
branch001_sentence_embedding_20260610_234706	sentence_embedding_sentence-transformers_LaBSE_csls	dev	kbh	nhg	256	52.596554	37.953573	0.335938	61.959906	49.567925	0.848880	MEASURED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/selected_dev_predictions.tsv
branch001_sentence_embedding_20260610_234706	sentence_embedding_sentence-transformers_LaBSE_csls	test	kbh	nhg	100	64.434500	51.996012	0.520000	61.959906	49.567925	1.039939	EXPLORATORY_SUPERSEDED	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/selected_test_predictions.tsv
